1	2271	230[ms]1	1000	249[ms]1	3	324[ms]1	3	547[ms]
1	3	247[ms]
1	3	237[ms]
1	3	238[ms]
1	3	204[ms]
1	3	232[ms]
1	3	242[ms]
1	3	206[ms]
1	3	241[ms]
1	3	217[ms]
1	3	220[ms]
1	3	203[ms]
1	3	227[ms]
1	3	205[ms]
1	3	199[ms]
1	3	215[ms]
1	3	212[ms]
1	3	221[ms]
1	3	898[ms]
1	3	226[ms]
1	3	219[ms]
1	3	221[ms]
1	3	228[ms]
1	3	203[ms]
1	3	312[ms]
1	3	235[ms]
2	100	312[ms]
2	100	344[ms]
2	100	329[ms]
2	100	297[ms]
2	100	331[ms]
2	100	328[ms]
10	100	1016[ms]
10	100	984[ms]
10	100	985[ms]
1	200	850[ms]
1	200	845[ms]
1	200	864[ms]
1	200	852[ms]
1	200	895[ms]
1	3	1040[ms]
1	3	968[ms]
1	1000	1094[ms]
1	1000	1313[ms]
1	1000	1335[ms]
1	1000	1219[ms]
1	1000	451[ms]
1	1000	360[ms]
1	1000	376[ms]
1	1000	357[ms]
1	1000	335[ms]
1	1000	365[ms]
1	1000	474[ms]
1	1000	325[ms]
1	1000	3224[ms]
1	1000	2596[ms]
1	1000	352[ms]
1	1000	334[ms]
1	1000	445[ms]
1	1000	319[ms]
1	1000	353[ms]
1	1000	476[ms]
1	1000	365[ms]
1	1000	430[ms]
1	1000	19449[ms]
1	1000	396[ms]
1	1000	376[ms]
1	1000	375[ms]
1	1000	10258[ms]
1	1000	861[ms]
1	1000	336[ms]
1	1000	19710[ms]
1	1000	677[ms]
1	1000	420[ms]
1	1000	387[ms]
1	1000	626[ms]
1	1000	617[ms]
1	1000	372[ms]
1	1000	594[ms]
1	1000	566[ms]
1	1000	485[ms]
1	1000	538[ms]
1	1000	783[ms]
1	1000	396[ms]
1	1000	371[ms]
1	1000	341[ms]
1	1000	698[ms]
1	1000	501[ms]
1	1000	328[ms]
1	1000	390[ms]
1	1000	328[ms]
1	1000	375[ms]
1	1000	614[ms]
1	1000	589[ms]
1	1000	480[ms]
1	1000	467[ms]
1	1000	485[ms]
1	1000	438[ms]
1	1000	453[ms]
1	1000	453[ms]
1	1000	422[ms]
1	1000	438[ms]
1	1000	455[ms]
1	1000	460[ms]
1	1000	478[ms]
1	1000	471[ms]
1	1000	459[ms]
1	1000	450[ms]
1	1000	475[ms]
1	1000	586[ms]
1	1000	635[ms]
