1	500	10	153790[ms]
1	500	10	141513[ms]
1	500	10	176903[ms]
1	500	10	99319[ms]
1	500	10	143659[ms]
1	500	10	171110[ms]
1	500	10	98990[ms]
1	500	10	93977[ms]
1	500	10	123373[ms]
1	1000	10	185879[ms]
1	1000	10	247138[ms]
1	1000	10	470757[ms]
1	1000	10	314604[ms]
1	1000	10	306873[ms]
1	1000	10	1089511[ms]
1	1000	10	188329[ms]
1	1000	10	195871[ms]
1	1000	10	188735[ms]
1	1000	10	202712[ms]
1	1000	10	202611[ms]
1	1000	10	95696[ms]
1	1000	10	99874[ms]
1	1000	10	141526[ms]
1	1000	10	153531[ms]
1	1000	10	384514[ms]
