1	1000	10	185960[ms]
1	1000	10	202087[ms]
1	1000	10	194724[ms]
1	1000	10	199430[ms]
1	1000	10	176467[ms]
1	1000	10	2150[ms]
1	1000	10	8949[ms]
1	100	10	70199[ms]
1	1000	10	228513[ms]
1	1000	10	235606[ms]
1	1000	10	242630[ms]
1	500	10	162194[ms]
1	500	10	172453[ms]
1	500	10	172063[ms]
1	500	10	121152[ms]
1	1000	10	331137[ms]
1	1000	10	231416[ms]
1	1000	10	234836[ms]
1	1000	10	538828[ms]
1	1000	10	335514[ms]
1	1000	10	253232[ms]
1	1000	10	255759[ms]
1	1000	10	247490[ms]
1	1000	10	1185646[ms]
1	1000	10	499673[ms]
