WiFi	LTE-U
2.1666666666666665	2.7
3.25	3.0
4.333333333333333	3.25
3.25	3.6
3.25	3.25
3.25	4.5
3.25	2.75
3.0	3.0
4.5	3.25
4.0	3.25
2.6	3.375
3.25	5.2
3.375	3.0
3.25	3.375
3.25	3.25
4.0	4.0
4.5	3.375
2.25	2.75
3.0	3.25
3.25	3.5714285714285716
2.25	3.142857142857143
5.2	3.142857142857143
3.375	3.25
3.0	3.7142857142857144
3.0	3.0
2.7	3.25
2.6	2.7
3.25	2.7
4.333333333333333	3.5
2.6	3.25
3.25	4.333333333333333
3.0	3.375
3.0	3.75
2.25	3.375
2.6	3.5
2.7	4.333333333333333
2.6	3.25
3.25	3.375
2.25	2.75
2.7	3.0
3.0	3.75
4.0	3.25
4.5	3.375
2.25	3.6
4.5	3.375
3.25	2.5
3.0	2.25
3.25	2.25
4.0	4.333333333333333
4.333333333333333	3.25
3.25	3.5714285714285716
4.5	6.5
3.0	3.375
3.25	3.0
2.7	4.333333333333333
3.25	3.25
3.25	3.25
4.5	2.5
4.333333333333333	2.6
3.25	3.25
4.333333333333333	4.333333333333333
3.25	2.4444444444444446
4.333333333333333	3.25
2.7	3.375
3.0	3.125
6.5	2.7
3.0	4.333333333333333
4.5	3.25
3.0	2.7
4.333333333333333	3.5714285714285716
6.5	3.25
3.0	3.25
3.25	3.0
4.5	2.4444444444444446
2.25	3.25
3.25	3.0
4.333333333333333	3.375
2.6	3.25
2.25	3.375
3.25	3.375
3.25	2.75
4.5	3.0
3.25	3.0
4.5	3.25
2.7	3.375
3.5714285714285716	3.0
2.25	2.625
2.7	3.375
3.375	3.0
3.25	3.25
3.25	3.375
2.7	4.5
3.375	2.7
3.375	2.7
3.0	2.6
5.2	3.375
4.333333333333333	3.0
3.25	3.25
4.0	2.4444444444444446
3.0	3.25
4.333333333333333	2.25
4.5	3.75
2.6	3.0
2.25	3.25
3.25	2.4444444444444446
2.6	3.5714285714285716
2.7	4.0
4.333333333333333	4.333333333333333
3.0	2.4444444444444446
4.333333333333333	2.7
3.375	6.5
4.0	2.4444444444444446
3.375	2.6
3.0	2.6
4.333333333333333	3.0
3.5714285714285716	3.25
2.7	4.5
3.25	4.333333333333333
3.25	3.25
3.375	3.25
4.5	2.7
2.7	2.7
2.6	3.75
3.0	2.4444444444444446
4.333333333333333	3.25
3.0	3.25
2.625	2.4444444444444446
3.375	2.75
4.5	4.333333333333333
3.25	3.75
3.25	2.75
3.125	3.25
3.25	3.125
3.25	3.0
4.5	4.333333333333333
4.5	5.0
3.25	3.75
3.5	3.0
4.333333333333333	3.25
3.375	2.6
3.25	3.25
2.7	4.333333333333333
3.375	4.0
4.333333333333333	4.333333333333333
2.25	4.333333333333333
4.0	3.0
4.333333333333333	5.2
4.0	3.25
3.6	3.0
3.25	3.25
5.2	4.333333333333333
2.6	2.6
2.7	3.375
2.7	2.4444444444444446
2.7	3.5714285714285716
3.5	5.2
2.7	3.25
3.375	4.333333333333333
2.7	4.0
3.0	3.375
3.25	3.0
4.5	3.5
3.0	3.375
3.25	2.75
3.375	3.375
2.7	5.0
3.25	4.0
3.25	3.25
3.25	3.0
4.0	4.5
3.25	3.0
4.333333333333333	3.375
3.0	3.0
2.7	3.25
3.0	3.0
4.333333333333333	3.25
2.625	2.6
4.333333333333333	3.0
2.25	2.6
3.25	3.25
3.25	2.6
2.7	3.7142857142857144
3.0	3.25
3.25	2.7
2.7	3.25
3.25	3.25
2.7	3.0
4.333333333333333	3.125
4.0	4.5
2.25	3.0
3.25	3.25
3.25	3.0
2.6	2.25
3.25	4.333333333333333
3.7142857142857144	3.0
4.5	3.0
3.25	3.375
3.0	4.333333333333333
3.25	2.7
3.25	3.142857142857143
2.25	2.7
2.25	2.7
2.7	3.375
2.25	3.0
2.25	2.25
3.25	2.6
3.0	3.25
3.5714285714285716	3.375
3.0	2.7
4.5	4.333333333333333
3.25	3.0
2.7	3.25
3.0	3.0
2.25	3.125
3.25	3.375
3.25	2.25
3.25	4.5
4.333333333333333	2.6
3.0	2.25
2.6	4.333333333333333
3.0	3.0
2.6	3.5
4.0	3.25
2.6	2.5
4.333333333333333	6.75
3.0	2.7
2.7	2.5
2.7	2.25
3.5714285714285716	2.6
2.7	2.6
3.25	2.25
3.25	2.7
3.25	3.25
2.25	3.0
3.25	2.7
3.0	4.333333333333333
2.25	3.0
3.25	2.25
3.25	2.75
2.25	4.5
2.7	3.0
3.25	3.0
3.5714285714285716	3.25
3.0	2.7
2.25	4.333333333333333
3.25	4.5
2.25	2.5
4.5	4.333333333333333
2.6	2.7
3.0	3.0
3.25	2.4444444444444446
2.7	2.7
4.333333333333333	2.7
2.7	3.25
2.7	3.375
2.7	2.4444444444444446
3.0	2.25
3.375	3.25
3.25	3.0
2.6	3.375
4.0	3.0
3.25	2.25
3.0	2.4444444444444446
2.25	2.4444444444444446
2.25	2.25
3.7142857142857144	3.25
2.7	2.7
3.25	2.25
2.6	2.7
3.6	2.1666666666666665
3.0	4.5
