WiFi	LTE-U
8.666666666666666	0.0
13.5	0.0
13.5	0.0
13.5	0.0
1.1217948390534682	0.0
13.5	0.0
13.5	0.0
13.5	0.0
13.5	0.0
8.666666666666666	0.0
8.666666666666666	0.0
2.980016977506989	0.0
4.9921757883629265	0.0
13.0	0.0
13.5	0.0
4.01062616256889	0.0
13.0	0.0
13.5	0.0
0.7849440141352697	0.0
8.08005400728253	0.0
2.5360660644320383	0.0
13.5	0.0
3.227377555549014	0.0
1.818711184257854	0.0
13.5	0.0
4.230055480615987	0.0
8.666666666666666	0.0
9.0	0.0
6.236518873816404	0.0
5.025971186530187	0.0
2.5126577197563535	0.0
6.75	0.0
4.841586480200459	0.0
9.0	0.0
7.04813942932273	0.0
13.5	0.0
8.666666666666666	0.0
6.75	0.0
5.669864091281713	0.0
6.224539365051309	0.0
0.040652643438550164	0.0
9.0	0.0
9.0	0.0
9.0	0.0
8.666666666666666	0.0
8.666666666666666	0.0
5.2	0.0
9.0	0.0
5.617905428632202	0.0
9.0	0.0
4.2637088893613955	0.0
4.064440905564334	0.0
9.0	0.0
7.998395871324671	0.0
13.5	0.0
9.0	0.0
6.75	0.0
13.5	0.0
3.727928480573244	0.0
7.48491960903245	0.0
5.463753394917412	0.0
6.310967193910494	0.0
13.5	0.0
8.666666666666666	0.0
13.0	0.0
13.5	0.0
8.666666666666666	0.0
6.75	0.0
8.666666666666666	0.0
6.75	0.0
6.75	0.0
6.75	0.0
4.643765442433952	0.0
13.5	0.0
9.0	0.0
6.519604977962473	0.0
9.0	0.0
8.666666666666666	0.0
8.666666666666666	0.0
6.75	0.0
5.451798561544242	0.0
0.8731130169514801	0.0
8.132989727304865	0.0
9.0	0.0
8.666666666666666	0.0
6.75	0.0
2.518048343809162	0.0
8.666666666666666	0.0
13.5	0.0
13.5	0.0
9.0	0.0
8.666666666666666	0.0
0.24294691087215972	0.0
2.181771893779638	0.0
8.666666666666666	0.0
9.0	0.0
13.5	0.0
4.587943212552853	0.0
6.75	0.0
7.630274250983733	0.0
13.5	0.0
13.5	0.0
6.75	0.0
3.543344549364586	0.0
7.2012402934440685	0.0
1.990383314898727	0.0
13.0	0.0
9.0	0.0
2.3574616261036865	0.0
4.099031006861503	0.0
0.971236275715975	0.0
6.75	0.0
1.5301052347666715	0.0
6.193807077555628	0.0
6.75	0.0
3.440542194385246	0.0
2.5194655893183446	0.0
6.5	0.0
0.951903346216506	0.0
9.0	0.0
6.75	0.0
9.0	0.0
9.0	0.0
6.125199945810702	0.0
9.0	0.0
6.75	0.0
0.9395717056300065	0.0
6.097611719275765	0.0
8.666666666666666	0.0
1.6313506721784088	0.0
8.666666666666666	0.0
6.109471130283406	0.0
4.221433048143218	0.0
9.0	0.0
6.53844023146976	0.0
5.191388592379463	0.0
4.202197458276423	0.0
6.75	0.0
1.1928417532121076	0.0
2.567160999297878	0.0
8.666666666666666	0.0
7.271157163858611	0.0
9.0	0.0
8.666666666666666	0.0
6.75	0.0
7.087562143132786	0.0
8.666666666666666	0.0
6.75	0.0
6.75	0.0
2.1216419961279462	0.0
0.09779367598980225	0.0
4.840298000336135	0.0
13.0	0.0
8.666666666666666	0.0
1.9354829787635275	0.0
6.75	0.0
3.8288494733631997	0.0
8.666666666666666	0.0
6.08264741994528	0.0
6.73295778376067	0.0
6.75	0.0
9.0	0.0
8.666666666666666	0.0
9.0	0.0
6.75	0.0
1.5917060007051143	0.0
6.75	0.0
13.5	0.0
9.0	0.0
4.5413863779789105	0.0
9.0	0.0
1.889334009085761	0.0
13.5	0.0
5.056974829658774	0.0
9.0	0.0
9.0	0.0
9.0	0.0
1.4052464933300797	0.0
9.0	0.0
6.75	0.0
9.0	0.0
9.0	0.0
6.75	0.0
3.087629190713322	0.0
4.643871674047312	0.0
7.175295257430088	0.0
8.666666666666666	0.0
13.5	0.0
7.873487785101532	0.0
6.75	0.0
5.048390469602352	0.0
6.75	0.0
6.21320385299285	0.0
13.5	0.0
9.0	0.0
4.284612199793136	0.0
13.5	0.0
2.0756217245914432	0.0
9.0	0.0
1.7765094108977162	0.0
9.0	0.0
7.730118698408239	0.0
8.666666666666666	0.0
13.5	0.0
6.367678903644803	0.0
13.5	0.0
6.75	0.0
3.5069964868994816	0.0
6.75	0.0
1.079925892535747	0.0
6.171918889113061	0.0
6.75	0.0
5.180527875344712	0.0
6.5	0.0
4.548177734156085	0.0
8.666666666666666	0.0
4.5	0.0
9.0	0.0
4.574782370198969	0.0
6.75	0.0
8.666666666666666	0.0
0.5850236165844701	0.0
9.0	0.0
0.7390979633746135	0.0
8.666666666666666	0.0
2.8921242961047673	0.0
0.563472272172473	0.0
7.631415389289686	0.0
5.916252606083618	0.0
9.0	0.0
6.626113378605981	0.0
1.6361253068699297	0.0
1.7195720879979437	0.0
8.666666666666666	0.0
7.783314871799999	0.0
8.666666666666666	0.0
6.168575712627432	0.0
6.75	0.0
6.75	0.0
9.0	0.0
2.404498493609451	0.0
1.5733058836621916	0.0
7.9912011511406895	0.0
9.0	0.0
0.7147519498010324	0.0
5.876123931981043	0.0
6.75	0.0
9.0	0.0
4.623485458243732	0.0
13.5	0.0
4.011195310088898	0.0
5.535251277088187	0.0
0.08638008538248117	0.0
9.0	0.0
9.0	0.0
6.75	0.0
9.0	0.0
0.037647794522809044	0.0
9.0	0.0
8.666666666666666	0.0
4.840584033539809	0.0
2.2123011694680166	0.0
8.524286538169667	0.0
9.0	0.0
9.0	0.0
1.8000773463835724	0.0
9.0	0.0
5.177526044336823	0.0
6.3440299030607195	0.0
5.393269928933871	0.0
13.5	0.0
9.0	0.0
6.75	0.0
5.461448480091509	0.0
9.0	0.0
9.0	0.0
